id_transaccion,nombre,apellido,tipo_documento,documento,fecha_venta,monto,producto
TX1001,Diego,Rojas,CED,00123456789,2025-11-15,5386.2,PrestamoPersonal
TX1002,AgroindustrialSantaMaria,,RNC,402123457,2025-11-15,4712.48,CuentaAhorro
TX1003,Ana,Gomez,CED,00123456791,2025-11-05,1891.06,CuentaCorriente
TX1004,Valeria,Martinez,CED,00123456792,2025-11-15,5092.91,TarjetaCredito
TX1005,Juan,Perez,CED,00123456793,2025-11-05,540.63,CuentaAhorro
TX1006,Luis,Perez,CED,00123456794,2025-10-27,1115.45,PrestamoHipotecario
TX1007,Daniela,Perez,CED,00123456795,2025-11-04,7286.15,CuentaCorriente
TX1008,Pedro,Fernandez,CED,00123456796,2025-11-10,2447.9,TarjetaCredito
TX1009,Andres,Rivera,CED,00123456797,2025-11-15,3857.86,TarjetaCredito
TX1010,Juan,Diaz,CED,00123456798,2025-10-28,6686.36,PrestamoComercial
TX1011,Felipe,Fernandez,CED,00123456799,2025-11-18,3738.44,CuentaCorriente
TX1012,Luis,Diaz,CED,00123456800,2025-10-25,2489.03,TarjetaCredito
TX1013,Carlos,Santos,CED,00123456801,2025-10-30,6322.6,CuentaAhorro
TX1014,Sofia,Ramirez,CED,00123456802,2025-11-03,1865.54,PrestamoHipotecario
TX1015,Carlos,Lopez,CED,00123456803,2025-11-05,5389.24,TarjetaCredito
TX1016,Daniela,Gomez,CED,00123456804,2025-11-15,1450.24,CuentaCorriente
TX1017,Miguel,Fernandez,CED,00123456805,2025-10-29,-102.24,CuentaCorriente
TX1018,Sofia,Morales,CED,00123456806,2025-10-29,837.87,PrestamoComercial
TX1019,Lucia,Diaz,CED,00123456807,2025-11-06,2203.91,PrestamoHipotecario
TX1020,Pedro,Martinez,CED,00123456808,2025-11-10,1074.99,PrestamoPersonal
TX1021,Juan,Fernandez,CED,00123456809,2025-11-10,7703.06,CuentaAhorro
TX1022,Diego,Rivera,CED,00123456810,2025-11-06,4712.14,TarjetaCredito
TX1023,TransportesHernandez,,RNC,402123478,2025-10-31,4807.09,TarjetaCredito
TX1024,FerreteriaCentral,,RNC,402123479,2025-10-25,3429.09,CuentaCorriente
TX1025,Diego,Ramirez,CED,00123456813,2025-11-23,835.14,PrestamoComercial
TX1026,Ana,Morales,CED,00123456814,2025-11-08,6879.99,PrestamoHipotecario
TX1027,TransportesHernandez,,RNC,402123482,2025-11-09,2892.05,PrestamoHipotecario
TX1028,Diego,Suarez,CED,00123456816,2025-11-09,4616.02,CuentaCorriente
TX1029,Valeria,Lopez,CED,00123456817,2025-11-01,1619.0,PrestamoHipotecario
TX1030,Carlos,Diaz,CED,00123456818,2025-10-31,2616.72,CuentaCorriente
TX1031,Felipe,Castillo,CED,00123456819,2025-11-18,1780.61,PrestamoHipotecario
TX1032,Carlos,Lopez,CED,00123456820,2025-11-05,6931.63,TarjetaCredito
TX1033,Diego,Lopez,CED,00123456821,2025-11-21,3422.59,PrestamoComercial
TX1034,Diego,Gomez,CED,00123456822,2025-11-10,3607.38,CuentaCorriente
TX1035,TransportesHernandez,,RNC,402123490,2025-11-02,7888.79,PrestamoHipotecario
TX1036,Miguel,Suarez,CED,00123456824,2025-10-25,5865.16,PrestamoHipotecario
TX1037,Juan,Santos,CED,00123456825,2025-11-21,7136.37,TarjetaCredito
TX1038,Felipe,Ramirez,CED,00123456826,2025-11-24,6662.15,PrestamoHipotecario
TX1039,Carlos,Lopez,CED,00123456827,2025-11-22,1791.02,CuentaAhorro
TX1040,Miguel,Rivera,CED,00123456828,2025-11-12,2961.73,PrestamoComercial
TX1041,Maria,Perez,CED,00123456829,2025-11-08,2601.02,PrestamoPersonal
TX1042,Ana,Suarez,CED,00123456830,2025-11-17,6585.1,TarjetaCredito
TX1043,Daniela,Suarez,CED,00123456831,2025-11-24,232.42,PrestamoHipotecario
TX1044,Pedro,Lopez,CED,00123456832,2025-10-26,5713.38,PrestamoComercial
TX1045,Sofia,Santos,CED,00123456833,2025-11-06,3872.74,TarjetaCredito
TX1046,Camila,Perez,CED,00123456834,2025-11-15,6053.13,PrestamoComercial
TX1047,Daniela,Lopez,CED,00123456835,2025-11-16,6658.62,CuentaAhorro
TX1048,Luis,Lopez,CED,00123456836,2025-11-21,2680.23,PrestamoHipotecario
TX1049,SupermercadosLaPlaza,,RNC,4021234104,2025-11-03,-123.76,CuentaCorriente
TX1050,Valeria,Suarez,CED,00123456838,2025-11-07,3411.49,CuentaAhorro
TX1051,Diego,Gomez,CED,00123456839,2025-11-11,5346.53,PrestamoPersonal
TX1052,Andres,Santos,CED,00123456840,2025-11-03,13.43,TarjetaCredito
TX1053,Ana,Castillo,CED,00123456841,2025-11-12,6086.92,TarjetaCredito
